C1:1
C2:1
C3:1
C6:1
C7:1
C8:1
D1:1
J1:1
J4:1
L2:1
MK1:1
PCB1:1
R1:1
R10:1
R11:1
R9:1
REF**:1
SW1:1
U2:1
U5:1
V1:1
V2:1
