### Module positions - created on 2022-01-30 07:56
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 22.600mm, Pcb Width 35.600mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
U1            ESP32-WROOM-32      ESP32-WROOM-32                147.7000   -96.6000   156.2000   -88.3450    180.0    bottom    SMD
J4            DC                  DC                            153.7050   -108.6600  153.7050   -108.6600    90.0    bottom    VIRTUAL
JP8           L1                  Pad_1206_0805_Bridged         162.2500   -90.0000   161.3375   -90.0000      0.0    top       VIRTUAL
JP7           L2                  Pad_1206_0805_Open            162.2500   -92.5000   161.3375   -92.5000      0.0    top       VIRTUAL
JP6           L2                  Pad_1206_0805_Bridged         156.6000   -91.2625   156.6000   -90.3500    -90.0    top       VIRTUAL
JP5           L3                  Pad_1206_0805_Open            162.2500   -95.0000   161.3375   -95.0000      0.0    top       VIRTUAL
JP4           L1                  Pad_1206_0805_Bridged         133.2500   -107.5000  134.1625   -107.5000   180.0    top       VIRTUAL
JP3           L2                  Pad_1206_0805_Open            133.2500   -105.2500  134.1625   -105.2500   180.0    top       VIRTUAL
JP2           L2                  Pad_1206_0805_Bridged         139.2000   -106.3500  139.2000   -105.4375   -90.0    top       VIRTUAL
JP1           L3                  Pad_1206_0805_Open            133.2500   -102.6000  134.1625   -102.6000   180.0    top       VIRTUAL
J3            USB-C               USC16-TR-Round                147.7000   -110.0000  0.0000     0.0000        0.0    top       SMD
U2            FT231XQ             QFN-20-1EP_4x4mm_P0.5mm_EP2.. 141.4500   -98.1000   140.4500   -100.0000    90.0    top       SMD
R3            220R                R_0603                        142.6000   -90.7582   142.6000   -91.5832     90.0    top       SMD
D2            D                   D_1206_3216Metric             155.0400   -105.7000  156.4400   -105.7000   180.0    top       SMD
C1            100nF               C_0603                        141.3800   -101.9800  140.6050   -101.9800     0.0    top       SMD
R5            5K1                 R_0603                        150.2250   -101.7000  151.0500   -101.7000   180.0    top       SMD
D4            BAV99S              SOT-363_SC-70-6               133.2500   -95.0000   133.9000   -94.0500    -90.0    top       SMD
D3            BAV99S              SOT-363_SC-70-6               133.2500   -99.5000   133.9000   -98.5500    -90.0    top       SMD
R4            5K1                 R_0603                        145.1000   -101.7000  145.9250   -101.7000   180.0    top       SMD
R6            27R                 R_0603                        145.8000   -97.4000   146.6250   -97.4000    180.0    top       SMD
R7            27R                 R_0603                        145.8000   -98.6000   144.9750   -98.6000      0.0    top       SMD
D1            RGB                 LED-RGB-1.6x1.6               139.9000   -90.7582   140.4000   -89.8832     90.0    top       SMD
R1            680R                R_0603                        141.4000   -90.7582   141.4000   -91.5832     90.0    top       SMD
R2            2K                  R_0603                        143.8000   -90.7582   143.8000   -91.5832     90.0    top       SMD
C4            10nF                C_0603                        155.1000   -103.9000  155.8750   -103.9000   180.0    top       SMD
C2            47pF                C_0603                        145.8000   -96.2000   146.5750   -96.2000    180.0    top       SMD
C3            47pF                C_0603                        145.8000   -99.8000   146.5750   -99.8000    180.0    top       SMD
C6            2.2uF               Hidden                        153.7000   -95.4500   0.0000     0.0000      180.0    top       SMD
C7            10uF                Hidden                        153.7000   -89.2000   0.0000     0.0000      180.0    top       SMD
D6            Schottky            Hidden                        153.3200   -92.3200   0.0000     0.0000       90.0    top       SMD
L1            6.8uH               Hidden                        150.1500   -90.7000   0.0000     0.0000       90.0    top       SMD
C5            0.1uF               Hidden                        150.4000   -96.7000   0.0000     0.0000        0.0    top       SMD
D8            BAV99S              SOT-363_SC-70-6               162.2500   -102.5000  161.6000   -103.4500    90.0    top       SMD
R9            3M 1% or NF         R_0603                        153.2000   -98.4000   154.0250   -98.4000    180.0    top       SMD
D9            BAV99S              SOT-363_SC-70-6               162.2500   -107.0000  161.6000   -107.9500    90.0    top       SMD
D7            BAV99S              SOT-363_SC-70-6               162.2500   -98.2500   161.6000   -99.2000     90.0    top       SMD
R8            10M 1% or 0R        R_0603                        153.2000   -97.2000   154.0250   -97.2000    180.0    top       SMD
D5            BAV99S              SOT-363_SC-70-6               133.2500   -90.5000   133.9000   -89.5500    -90.0    top       SMD
U3            LMR16006+FB         RegulatorBlockFB              149.7400   -94.2900   151.0900   -95.2400     90.0    top       SMD
J1            Left                Molex_MiniSPOX_H8RA           136.6000   -98.8000   136.6000   -107.5500    90.0    bottom    THD
J2            Right               Molex_MiniSPOX_H8RA           158.9000   -98.8000   158.9000   -90.0500    -90.0    bottom    THD
## End
## 214 SMD pads
## 16 TH pads
## 34 Virtual pads
## 0 Top TH modules
## 2 Bot TH modules
## 29 Top SMD modules
## 1 Bot SMD modules
## 8 Top Virtual modules
## 1 Bot Virtual modules
